Cycle,Plane,Landmark #1,Landmark #2,Landmark #3,Landmark #4,Landmark #5,Landmark #6,Landmark #7,Landmark #8,Landmark #9,Landmark #10,Landmark #11,Landmark #12,Landmark #13,Landmark #14,Landmark #15,Landmark #16,Landmark #17,Landmark #18,Landmark #19,Landmark #20,Correct?
11,y,104,65,21,108,122,75,66,-245,137,81,69,-302,130,75,70,-315,85,55,57,-501,Yes
12,x,106,86,85,-262,40,20,15,-156,5,-1,1,-81,-7,-2,4,-67,-39,-26,-21,181,Yes
12,y,103,65,21,107,123,74,66,-245,138,81,69,-303,130,76,71,-316,85,56,56,-500,Yes
13,x,106,87,85,-263,40,20,15,-155,5,-2,2,-82,-7,-2,5,-67,-40,-26,-21,181,Yes
13,y,103,66,21,107,122,75,66,-245,137,81,70,-303,129,76,70,-315,85,56,56,-500,Yes
14,x,106,87,85,-263,40,20,15,-155,4,-1,0,-80,-7,-2,4,-66,-40,-27,-20,181,Yes
14,y,104,65,22,106,123,74,66,-245,137,81,69,-302,130,75,71,-316,86,55,56,-500,Yes
15,x,106,87,84,-263,41,20,14,-155,5,-2,1,-80,-7,-2,4,-66,-39,-27,-21,181,Yes
15,y,103,66,22,105,123,74,66,-245,137,81,69,-302,129,76,71,-316,86,55,57,-501,Yes
16,x,106,87,84,-262,40,19,15,-155,5,-2,1,-80,-7,-2,4,-66,-40,-27,-20,182,Yes
16,y,103,66,22,105,123,74,66,-244,136,81,69,-302,130,75,71,-316,86,55,57,-501,Yes
17,x,106,87,84,-263,40,20,15,-155,5,-2,1,-80,-7,-2,4,-66,-40,-27,-20,181,Yes
17,y,103,66,22,105,123,74,66,-244,136,81,69,-301,129,75,71,-315,85,55,57,-501,Yes
18,x,105,87,84,-262,40,20,15,-155,5,-2,1,-81,-6,-2,4,-66,-40,-27,-20,182,Yes
18,y,104,65,22,105,123,74,66,-244,136,81,69,-301,129,75,71,-315,85,55,57,-500,Yes
19,x,105,86,85,-262,40,20,15,-155,5,-2,1,-81,-6,-2,4,-67,-39,-27,-20,182,Yes
19,y,103,65,22,105,123,74,66,-245,137,81,69,-302,130,75,71,-315,85,55,57,-500,Yes
20,x,106,86,84,-261,40,21,15,-156,5,-2,1,-81,-6,-2,4,-67,-39,-27,-20,182,Yes
20,y,104,66,23,104,122,74,65,-243,136,81,69,-301,129,75,71,-315,85,56,56,-501,Yes
21,x,106,85,85,-262,41,21,16,-157,4,-1,0,-80,-6,-2,4,-67,-38,-27,-21,182,Yes
21,y,104,66,24,102,122,74,65,-242,136,81,69,-301,129,76,71,-316,85,56,56,-501,Yes
22,x,105,86,85,-262,41,20,16,-156,4,-1,0,-80,-6,-2,3,-66,-39,-26,-21,182,Yes
22,y,104,66,23,103,122,74,65,-242,136,81,68,-300,129,76,71,-316,85,56,56,-501,Yes
23,x,105,86,85,-262,40,21,16,-157,5,-1,0,-80,-6,-2,3,-66,-39,-27,-20,182,Yes
23,y,104,67,23,102,121,74,65,-241,136,81,69,-301,129,76,71,-316,85,56,56,-500,Yes
24,x,105,86,85,-262,40,21,16,-156,4,-1,0,-80,-6,-2,3,-66,-39,-27,-20,182,Yes
24,y,104,66,24,102,121,74,66,-242,136,81,69,-301,129,76,71,-316,85,56,56,-501,Yes
25,x,106,86,85,-262,40,21,16,-156,4,-1,0,-80,-6,-2,3,-66,-39,-26,-21,181,Yes
25,y,104,66,23,103,122,74,65,-242,136,82,68,-301,129,76,71,-316,85,56,56,-501,Yes
26,x,106,86,85,-262,40,21,16,-156,4,-1,0,-80,-6,-2,3,-66,-38,-27,-21,181,Yes
26,y,104,66,24,102,122,74,65,-242,136,82,68,-301,129,75,72,-316,85,56,56,-500,Yes
27,x,105,87,85,-262,40,21,16,-156,4,-1,0,-80,-6,-2,3,-66,-38,-27,-21,180,Yes
27,y,105,66,23,103,122,74,66,-243,137,81,68,-301,129,76,71,-316,85,55,57,-500,Yes
28,x,105,86,85,-261,40,20,15,-155,5,-2,0,-79,-6,-2,3,-66,-39,-27,-21,181,Yes
28,y,104,67,23,102,122,74,66,-244,137,81,69,-302,129,76,71,-316,86,55,56,-498,Yes
29,x,105,85,85,-259,40,19,15,-154,4,-1,0,-80,-6,-2,4,-67,-38,-27,-21,181,Yes
29,y,104,67,24,102,122,74,66,-244,137,81,68,-301,129,75,71,-315,85,55,57,-500,Yes
30,x,105,86,85,-261,40,20,16,-156,4,-1,0,-79,-7,-2,4,-66,-39,-27,-21,182,Yes
30,y,105,67,23,101,122,74,66,-243,136,81,69,-301,128,76,71,-315,85,56,56,-499,Yes
31,x,104,85,85,-259,39,21,15,-155,4,-2,0,-79,-7,-2,4,-65,-39,-27,-21,180,Yes
31,y,103,67,24,101,122,73,66,-243,136,81,69,-301,128,76,71,-315,85,56,56,-499,Yes
32,x,105,85,85,-260,39,21,16,-156,4,-2,0,-78,-7,-2,3,-65,-39,-27,-21,182,Yes
32,y,105,67,23,101,122,73,65,-241,136,80,69,-300,128,76,70,-314,85,55,57,-500,Yes
33,x,104,85,85,-259,39,20,15,-154,4,-2,0,-78,-7,-2,4,-65,-40,-27,-21,181,Yes
33,y,104,69,24,99,122,73,66,-242,136,81,68,-300,128,76,71,-315,85,55,56,-499,Yes
34,x,105,84,84,-258,39,20,16,-155,4,-2,0,-78,-7,-2,3,-65,-39,-27,-21,181,Yes
34,y,105,68,25,98,122,73,65,-241,136,80,68,-299,129,75,70,-314,85,55,56,-498,Yes
35,x,105,84,85,-258,39,20,15,-154,4,-3,0,-77,-7,-3,4,-65,-39,-28,-21,181,Yes
35,y,104,69,25,98,122,74,66,-243,136,81,68,-300,129,75,71,-314,84,55,56,-499,Yes
36,x,105,85,84,-258,39,20,15,-154,4,-3,0,-78,-7,-2,4,-65,-40,-27,-21,181,Yes
36,y,105,68,25,99,121,74,65,-242,136,80,68,-298,128,75,71,-314,85,55,56,-499,Yes
37,x,106,84,84,-257,39,20,15,-154,4,-3,0,-77,-8,-2,4,-65,-40,-27,-21,181,Yes
37,y,104,69,26,97,122,74,66,-243,136,81,67,-299,129,75,71,-314,85,55,56,-498,Yes
38,x,106,84,83,-256,39,20,15,-154,4,-2,0,-79,-7,-1,4,-66,-40,-27,-21,181,Yes
38,y,105,69,25,98,121,74,65,-241,135,81,67,-298,128,75,71,-314,85,55,56,-498,Yes
39,x,106,83,84,-256,39,20,15,-154,4,-2,0,-79,-6,-2,4,-66,-40,-26,-21,180,Yes
39,y,105,69,25,98,121,73,66,-241,135,80,67,-296,128,75,70,-313,85,54,56,-498,Yes
40,x,106,84,83,-256,39,20,16,-155,4,-1,0,-79,-7,-1,4,-67,-39,-27,-21,180,Yes
40,y,104,69,25,98,120,73,66,-240,135,80,67,-296,127,75,71,-313,85,54,56,-498,Yes
41,x,106,84,83,-255,39,20,16,-155,3,-2,1,-79,-7,-2,4,-66,-39,-27,-21,181,Yes
41,y,105,69,24,99,121,74,65,-241,136,79,67,-296,127,75,71,-312,84,54,56,-499,Yes
42,x,106,83,83,-255,39,20,15,-154,4,-2,0,-78,-7,-2,5,-67,-40,-26,-21,178,Yes
42,y,105,69,25,97,122,73,66,-242,135,80,68,-297,127,76,70,-312,84,55,57,-500,Yes
43,x,106,84,84,-257,40,21,15,-155,4,-2,0,-79,-6,-2,4,-66,-39,-27,-21,180,Yes
43,y,106,69,24,98,122,73,66,-241,135,79,68,-297,128,75,70,-312,84,55,56,-499,Yes
44,x,105,84,84,-256,40,20,16,-156,4,-2,0,-78,-7,-1,4,-66,-40,-27,-21,179,Yes
44,y,106,69,24,98,122,73,66,-241,135,80,67,-297,128,75,70,-312,84,55,56,-500,Yes
45,x,105,84,85,-258,40,21,16,-156,4,-1,0,-79,-7,-1,4,-67,-38,-27,-21,179,Yes
45,y,106,70,24,97,121,74,65,-241,135,80,67,-296,128,75,70,-312,84,55,56,-499,Yes
46,x,105,84,84,-256,40,21,16,-157,4,-2,1,-79,-7,-1,4,-66,-39,-27,-21,179,Yes
46,y,104,69,25,98,122,73,65,-241,136,80,67,-297,128,75,70,-312,84,55,56,-500,Yes
47,x,105,84,84,-257,40,21,17,-157,4,-1,0,-79,-7,-1,4,-66,-39,-27,-21,179,Yes
47,y,105,69,25,97,121,74,65,-241,136,79,68,-297,128,75,70,-312,84,55,56,-499,Yes
48,x,105,84,85,-258,40,21,17,-157,4,-1,0,-79,-7,-2,5,-66,-39,-27,-21,179,Yes
48,y,106,68,24,98,121,73,66,-241,135,80,67,-296,128,75,70,-312,84,55,55,-499,Yes
49,x,105,85,84,-258,40,22,16,-157,4,-1,1,-80,-7,-1,4,-66,-39,-27,-21,179,Yes
49,y,105,69,24,98,121,73,65,-240,135,80,67,-296,128,75,70,-312,84,55,56,-499,Yes
50,x,104,85,85,-258,41,21,17,-158,4,-1,1,-80,-7,-1,5,-67,-39,-27,-21,179,Yes
50,y,105,69,24,98,121,73,65,-240,135,80,67,-296,128,75,70,-312,84,55,56,-499,Yes
51,x,105,85,84,-258,41,21,17,-158,5,-2,1,-80,-6,-2,4,-66,-39,-26,-21,179,Yes
51,y,105,69,24,98,120,74,65,-240,135,79,67,-295,127,75,71,-313,85,54,56,-498,Yes
52,x,104,84,85,-257,41,21,17,-159,5,-1,0,-80,-6,-1,4,-67,-38,-27,-21,178,Yes
52,y,104,69,25,97,121,73,66,-241,135,80,67,-296,128,75,71,-313,84,55,56,-498,Yes
53,x,104,84,85,-256,41,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-38,-27,-21,179,Yes
53,y,105,69,25,97,121,73,65,-240,136,80,67,-297,128,76,71,-314,84,55,56,-498,Yes
54,x,104,84,84,-256,41,21,16,-158,5,-1,0,-80,-6,-1,4,-67,-39,-26,-21,177,Yes
54,y,104,69,25,97,121,73,65,-240,135,80,68,-297,128,75,71,-313,84,55,56,-498,Yes
55,x,105,84,84,-256,41,21,16,-157,5,-2,0,-80,-6,-1,4,-67,-39,-27,-21,179,Yes
55,y,104,70,24,98,120,74,65,-240,135,80,67,-296,128,76,71,-314,85,54,56,-499,Yes
56,x,105,84,84,-256,40,22,16,-158,5,-2,1,-80,-6,-2,4,-66,-40,-27,-21,179,Yes
56,y,106,69,24,98,121,73,66,-241,135,81,67,-297,128,76,71,-314,85,54,57,-499,Yes
57,x,105,84,84,-257,41,22,16,-158,5,-2,1,-80,-6,-2,4,-66,-40,-27,-21,180,Yes
57,y,104,69,25,98,120,74,65,-240,135,80,68,-297,128,76,71,-315,85,55,56,-498,Yes
58,x,105,84,84,-256,41,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-39,-26,-21,179,Yes
58,y,104,69,25,98,120,74,65,-240,135,80,67,-296,128,75,72,-315,85,55,56,-498,Yes
59,x,105,84,84,-257,42,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-39,-26,-21,179,Yes
59,y,104,69,25,97,121,73,66,-240,135,80,67,-296,128,75,71,-314,85,55,56,-498,Yes
60,x,105,84,84,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-40,-26,-21,179,Yes
60,y,104,68,26,97,121,73,66,-240,135,79,68,-297,129,75,71,-314,84,56,56,-498,Yes
61,x,104,83,85,-256,41,21,16,-158,5,-1,0,-80,-6,-1,3,-66,-40,-26,-21,179,Yes
61,y,104,68,26,97,121,73,66,-240,134,80,68,-297,128,76,71,-314,84,55,57,-498,Yes
62,x,104,83,85,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-27,-21,179,Yes
62,y,104,68,26,97,121,74,65,-240,135,80,67,-297,128,76,71,-314,84,55,57,-498,Yes
63,x,104,84,85,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-27,-21,179,Yes
63,y,104,69,25,97,121,73,66,-241,135,80,67,-296,128,76,71,-314,84,55,57,-498,Yes
64,x,104,83,84,-254,40,21,16,-157,4,-2,1,-80,-6,-2,4,-66,-40,-27,-21,180,Yes
64,y,104,69,25,97,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-498,Yes
65,x,104,83,84,-255,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-28,-21,180,Yes
65,y,103,69,26,96,121,74,65,-241,135,80,68,-297,128,75,72,-314,84,55,57,-497,Yes
66,x,104,84,84,-255,40,21,16,-157,4,-1,0,-80,-6,-2,4,-66,-40,-27,-21,180,Yes
66,y,103,69,26,96,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-497,Yes
67,x,104,84,84,-256,41,21,16,-157,4,-1,0,-80,-6,-1,4,-67,-40,-27,-21,180,Yes
67,y,104,68,26,96,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-497,Yes
68,x,104,84,84,-256,41,21,15,-156,4,-1,0,-80,-6,-2,5,-67,-40,-27,-21,180,Yes
68,y,104,69,25,96,121,73,66,-241,135,80,68,-297,128,76,71,-314,84,55,56,-496,Yes
69,x,103,84,85,-256,41,21,15,-157,5,-2,1,-80,-6,-2,4,-66,-40,-27,-22,181,Yes
69,y,104,69,25,96,121,73,66,-241,135,80,68,-297,128,75,72,-314,84,55,57,-497,Yes
70,x,103,84,84,-255,40,21,16,-157,4,-1,0,-79,-7,-1,4,-66,-40,-28,-21,181,Yes
70,y,104,69,26,95,121,74,65,-241,135,80,68,-297,128,75,72,-314,84,55,56,-496,Yes
71,x,103,84,84,-255,40,21,17,-159,5,-2,1,-80,-6,-2,4,-66,-40,-27,-22,181,Yes
71,y,105,68,25,96,121,73,66,-241,135,80,68,-297,128,75,71,-314,84,55,57,-496,Yes
72,x,103,84,84,-255,40,21,17,-158,4,-1,1,-80,-7,-2,4,-66,-40,-28,-21,183,Yes
72,y,104,69,25,97,121,73,65,-240,135,79,68,-297,128,75,71,-314,85,55,56,-497,Yes
73,x,103,84,84,-255,40,21,16,-157,4,-2,1,-79,-8,-2,4,-64,-41,-28,-22,183,Yes
73,y,104,69,25,97,121,73,65,-240,135,79,68,-296,127,76,71,-314,84,55,56,-497,Yes
74,x,103,83,84,-255,41,21,16,-158,4,-1,0,-79,-7,-2,4,-64,-41,-28,-22,184,Yes
74,y,104,69,25,97,120,74,65,-240,134,80,68,-297,128,76,71,-314,84,55,56,-497,Yes
75,x,104,83,85,-256,40,21,17,-158,4,-1,0,-79,-7,-2,4,-64,-41,-29,-21,184,Yes
75,y,104,69,26,96,120,74,65,-240,134,80,68,-297,128,75,72,-314,84,55,56,-497,Yes
76,x,102,84,85,-256,40,21,17,-158,4,-2,1,-79,-7,-2,4,-65,-40,-29,-22,184,Yes
76,y,104,69,26,96,120,74,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496,Yes
77,x,103,84,84,-255,40,21,16,-157,3,-2,1,-78,-8,-2,4,-64,-41,-28,-22,184,Yes
77,y,104,69,26,96,121,73,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496,Yes
78,x,103,84,84,-255,39,21,16,-156,3,-2,1,-78,-8,-2,4,-64,-41,-29,-22,185,Yes
78,y,106,69,25,96,121,73,66,-241,135,79,68,-296,128,75,71,-314,84,55,56,-496,Yes
79,x,104,83,84,-255,39,20,16,-155,3,-2,0,-77,-8,-2,3,-63,-41,-29,-22,185,Yes
79,y,105,69,26,96,120,73,66,-240,134,80,68,-297,128,75,71,-314,84,55,56,-496,Yes
80,x,103,83,85,-256,39,21,16,-156,3,-2,1,-78,-8,-2,4,-63,-42,-28,-23,185,Yes
80,y,105,70,26,95,120,73,66,-240,135,79,68,-297,128,75,71,-314,84,55,56,-496,Yes
81,x,104,83,85,-256,39,21,16,-156,3,-2,0,-77,-8,-2,3,-63,-41,-29,-22,187,Yes
81,y,105,70,26,95,121,73,65,-240,135,79,68,-297,128,75,71,-314,84,55,56,-496,Yes
82,x,103,83,85,-256,39,21,17,-157,3,-2,0,-77,-8,-2,4,-64,-41,-29,-22,187,Yes
82,y,106,69,26,96,120,73,65,-239,134,80,67,-296,127,76,70,-313,83,55,56,-496,Yes
83,x,103,83,85,-256,39,21,17,-157,3,-2,0,-77,-8,-2,4,-64,-41,-29,-22,186,Yes
83,y,106,69,26,96,120,73,65,-239,134,80,67,-296,127,76,70,-313,83,55,56,-496,Yes
84,x,103,84,84,-256,40,21,16,-157,4,-2,0,-78,-8,-2,4,-64,-40,-28,-22,186,Yes
84,y,105,70,25,96,120,73,65,-240,134,79,68,-295,126,76,71,-313,83,55,56,-497,Yes
85,x,103,83,84,-255,39,21,16,-157,4,-2,1,-79,-8,-2,4,-64,-41,-28,-21,185,Yes
85,y,106,70,26,94,120,73,65,-239,135,79,67,-295,127,75,72,-313,83,54,56,-496,Yes
86,x,103,84,84,-255,39,21,16,-156,3,-2,1,-79,-8,-2,4,-64,-41,-28,-22,186,Yes
86,y,106,69,26,94,121,73,65,-239,134,79,67,-295,127,76,71,-313,83,54,56,-496,Yes
87,x,103,83,84,-255,39,21,16,-157,4,-2,1,-79,-8,-2,4,-63,-42,-28,-22,186,Yes
87,y,106,69,26,94,121,72,65,-238,134,79,67,-295,127,76,71,-313,83,54,56,-496,Yes
88,x,104,83,84,-255,40,20,16,-156,4,-2,-1,-77,-8,-2,3,-63,-41,-28,-23,187,Yes
88,y,105,70,26,94,121,73,65,-240,135,79,67,-295,127,76,71,-313,83,54,57,-497,Yes
89,x,104,83,84,-255,39,21,15,-155,3,-3,0,-77,-8,-2,4,-64,-41,-28,-22,185,Yes
89,y,105,68,26,96,120,73,66,-240,134,79,68,-296,127,76,72,-314,84,54,56,-496,Yes
90,x,104,84,83,-255,40,20,16,-156,3,-2,0,-77,-8,-2,3,-63,-41,-28,-22,184,Yes
90,y,104,69,26,95,121,73,65,-240,134,80,68,-296,127,75,72,-314,84,55,56,-496,Yes
91,x,104,84,84,-256,40,20,15,-155,3,-3,0,-77,-7,-2,3,-64,-41,-28,-22,185,Yes
91,y,104,69,26,96,120,73,66,-240,134,80,68,-297,128,75,71,-313,83,55,57,-497,Yes
92,x,105,83,84,-256,40,21,15,-156,4,-3,0,-77,-8,-1,3,-65,-40,-28,-22,184,Yes
92,y,105,68,26,96,121,73,65,-240,135,80,68,-297,128,75,71,-314,84,55,56,-496,Yes
93,x,105,84,83,-256,40,21,15,-156,4,-2,-1,-77,-7,-2,3,-65,-40,-28,-22,184,Yes
93,y,105,69,26,96,120,73,66,-240,135,79,68,-297,128,76,71,-314,84,55,56,-496,Yes
94,x,104,84,83,-256,40,21,15,-156,4,-2,0,-78,-7,-2,3,-64,-40,-28,-21,182,Yes
94,y,104,69,26,96,120,74,65,-240,135,79,68,-297,128,75,71,-313,84,55,56,-496,Yes
95,x,104,84,83,-256,40,21,15,-156,4,-2,-1,-77,-7,-2,4,-66,-39,-28,-21,183,Yes
95,y,104,68,27,96,120,74,65,-240,134,80,68,-297,128,76,71,-314,84,55,56,-496,Yes
96,x,104,84,83,-255,40,20,15,-155,4,-3,0,-77,-8,-2,4,-65,-40,-28,-22,183,Yes
96,y,104,69,26,95,121,73,66,-241,135,80,69,-298,128,75,71,-314,84,55,56,-495,Yes
97,x,104,84,83,-255,40,21,15,-156,3,-2,0,-77,-8,-1,3,-65,-40,-28,-21,183,Yes
97,y,103,70,26,95,121,73,66,-241,135,80,68,-297,128,75,71,-313,84,55,56,-496,Yes
98,x,103,84,84,-256,40,21,15,-156,3,-2,0,-77,-7,-2,3,-65,-40,-28,-21,183,Yes
98,y,104,69,26,95,121,73,66,-241,135,80,68,-297,128,75,71,-314,85,55,56,-497,Yes
99,x,104,84,84,-256,40,20,16,-156,3,-2,0,-78,-6,-2,3,-65,-40,-27,-22,183,Yes
99,y,103,69,27,95,121,73,66,-241,135,80,68,-298,129,75,71,-314,85,55,56,-497,Yes
100,x,103,84,84,-257,41,21,15,-157,4,-1,-1,-78,-6,-2,4,-66,-40,-27,-22,183,Yes
100,y,104,69,27,94,121,73,66,-241,135,80,68,-298,129,75,71,-314,85,55,56,-497,Yes
101,x,103,84,84,-257,40,21,15,-156,4,-2,0,-78,-6,-2,3,-65,-40,-27,-21,182,Yes
101,y,103,70,26,95,121,74,65,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497,Yes
102,x,103,84,84,-257,41,20,15,-155,3,-2,0,-78,-6,-2,4,-66,-40,-27,-21,182,Yes
102,y,104,69,26,95,121,74,65,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497,Yes
103,x,104,84,84,-257,41,21,15,-157,4,-1,-1,-78,-6,-2,4,-66,-39,-28,-21,182,Yes
103,y,104,69,25,96,121,73,66,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497,Yes
104,x,103,83,84,-256,41,21,15,-157,5,-2,0,-78,-7,-2,4,-66,-39,-28,-21,182,Yes
104,y,104,70,26,95,121,73,66,-241,135,80,68,-298,128,76,72,-315,84,55,57,-497,Yes
105,x,103,83,84,-256,41,21,15,-157,4,-1,0,-78,-7,-2,4,-65,-40,-27,-22,182,Yes
105,y,104,70,26,95,121,73,66,-241,135,80,67,-297,128,76,71,-314,84,55,57,-497,Yes
106,x,103,83,84,-256,41,21,15,-157,5,-2,0,-78,-7,-1,3,-66,-39,-28,-21,182,Yes
106,y,104,69,27,95,121,73,66,-241,135,80,67,-297,128,76,72,-315,84,55,56,-495,Yes
107,x,104,83,84,-256,40,21,16,-157,4,-2,0,-78,-7,-1,3,-65,-40,-28,-21,181,Yes
107,y,103,70,26,96,121,73,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496,Yes
108,x,104,83,84,-256,41,21,16,-158,4,-1,-1,-78,-6,-2,4,-66,-40,-28,-21,181,Yes
108,y,104,69,26,96,120,73,66,-240,135,80,68,-298,128,76,72,-315,84,55,57,-496,Yes
109,x,105,83,84,-255,40,21,17,-158,4,-2,0,-78,-7,-2,3,-65,-40,-28,-22,183,Yes
109,y,104,68,27,96,120,73,66,-240,135,80,68,-298,128,76,71,-314,85,54,57,-496,Yes
110,x,104,84,83,-255,40,22,16,-158,4,-2,0,-78,-6,-3,4,-65,-41,-28,-22,183,Yes
110,y,103,69,27,96,120,73,65,-239,135,79,68,-297,128,76,71,-314,84,55,57,-496,Yes
111,x,105,83,83,-255,41,21,16,-158,4,-1,0,-79,-7,-1,3,-65,-41,-28,-22,183,Yes
111,y,103,69,27,96,119,73,65,-238,134,80,68,-297,128,76,71,-314,84,55,57,-496,Yes
112,x,104,83,84,-255,41,21,17,-159,4,-1,0,-79,-7,-1,3,-65,-41,-28,-22,183,Yes
112,y,102,70,27,96,120,72,65,-238,135,80,67,-297,129,75,71,-314,84,55,56,-495,Yes
113,x,104,83,84,-255,40,22,17,-159,4,-2,1,-79,-7,-2,4,-65,-41,-28,-22,182,Yes
113,y,103,69,28,95,120,72,66,-239,135,79,68,-297,128,76,71,-314,84,55,57,-496,Yes
114,x,103,83,84,-254,40,22,17,-159,4,-2,1,-79,-7,-2,4,-66,-40,-28,-22,182,Yes
114,y,103,69,28,95,120,72,66,-239,134,80,69,-298,128,75,72,-315,85,55,56,-495,Yes
115,x,105,82,84,-255,41,21,17,-159,5,-2,1,-80,-6,-2,3,-65,-40,-29,-22,183,Yes
115,y,103,69,28,94,120,73,65,-239,135,80,69,-299,128,76,72,-316,85,55,57,-495,Yes
116,x,104,83,84,-255,40,21,17,-158,4,-1,0,-79,-6,-2,3,-65,-41,-28,-23,184,Yes
116,y,103,69,28,95,120,73,66,-241,136,80,70,-301,129,75,72,-315,85,55,57,-496,Yes
117,x,104,83,84,-255,40,22,17,-159,4,-2,0,-78,-7,-2,3,-64,-41,-28,-23,184,Yes
117,y,103,68,27,96,120,73,65,-239,135,80,69,-299,128,75,72,-315,85,55,57,-496,Yes
118,x,104,83,83,-255,41,22,16,-158,4,-2,0,-78,-7,-2,3,-64,-41,-29,-22,184,Yes
118,y,102,69,27,96,120,73,65,-239,135,80,69,-299,128,75,72,-315,85,55,57,-495,Yes
119,x,104,83,84,-256,41,21,17,-159,4,-1,0,-78,-7,-2,3,-64,-41,-29,-22,184,Yes
119,y,102,69,27,96,120,73,65,-239,135,80,68,-298,128,76,71,-314,84,56,57,-496,Yes
120,x,104,83,83,-255,41,21,16,-158,4,-1,0,-78,-7,-2,3,-64,-41,-28,-23,184,Yes
120,y,102,69,27,95,120,73,65,-239,135,80,68,-298,128,76,72,-315,84,56,57,-496,Yes
121,x,103,83,83,-254,41,21,16,-158,4,-1,0,-79,-6,-2,3,-65,-40,-29,-22,185,Yes
121,y,102,68,28,95,120,73,65,-239,135,80,68,-298,128,76,72,-315,84,56,57,-497,Yes
122,x,103,83,83,-255,41,21,16,-158,5,-1,0,-79,-7,-1,4,-66,-41,-28,-22,183,Yes
122,y,102,69,28,95,119,74,65,-240,135,80,68,-298,128,76,72,-315,85,55,57,-495,Yes
123,x,103,83,84,-256,41,20,16,-157,4,-1,0,-79,-6,-2,4,-66,-40,-28,-22,183,Yes
123,y,102,69,28,95,120,73,65,-239,134,80,68,-297,128,75,72,-315,85,55,57,-496,Yes
124,x,102,83,84,-255,40,21,15,-156,4,-1,0,-80,-6,-2,3,-65,-40,-28,-22,184,Yes
124,y,102,70,28,94,121,73,65,-240,135,80,68,-298,128,76,71,-315,85,55,57,-496,Yes
