i,j,x,y
6,19,1923,420
6,20,1919,344
6,21,1910,278
7,1,1956,885
7,2,1796,877
7,3,1646,782
7,4,1551,692
7,5,1459,644
7,6,1671,593
7,7,1593,465
7,8,1544,386
7,9,1498,313
7,10,1751,537
7,11,1691,386
7,12,1643,290
7,13,1595,205
7,14,1834,518
7,15,1799,368
7,16,1757,274
7,17,1711,195
7,18,1919,524
7,19,1912,402
7,20,1907,328
7,21,1894,261
8,1,1948,874
8,2,1788,869
8,3,1637,773
8,4,1538,680
8,5,1445,625
8,6,1661,576
8,7,1583,446
8,8,1533,369
8,9,1485,296
8,10,1742,523
8,11,1675,374
8,12,1624,278
8,13,1576,192
8,14,1826,507
8,15,1786,357
8,16,1745,264
8,17,1700,182
8,18,1914,515
8,19,1903,397
8,20,1898,323
8,21,1886,254
9,1,1951,852
9,2,1783,857
9,3,1626,764
9,4,1523,667
9,5,1427,613
9,6,1649,564
9,7,1566,434
9,8,1518,356
9,9,1474,284
9,10,1732,512
9,11,1655,362
9,12,1601,266
9,13,1551,181
9,14,1823,496
9,15,1771,347
9,16,1723,255
9,17,1673,171
9,18,1924,504
9,19,1930,389
9,20,1924,312
9,21,1910,234
10,1,1930,854
10,2,1764,849
10,3,1614,749
10,4,1515,652
10,5,1418,601
10,6,1637,550
10,7,1554,422
10,8,1507,345
10,9,1465,274
10,10,1721,500
10,11,1641,350
10,12,1584,257
10,13,1533,177
10,14,1814,486
10,15,1755,335
10,16,1702,245
10,17,1649,165
10,18,1917,497
10,19,1918,379
10,20,1906,299
10,21,1887,221
11,1,1942,840
11,2,1760,843
11,3,1607,742
11,4,1513,638
11,5,1417,589
11,6,1633,543
11,7,1550,411
11,8,1504,333
11,9,1463,260
11,10,1719,489
11,11,1637,336
11,12,1581,242
11,13,1530,162
11,14,1813,473
11,15,1751,325
11,16,1697,234
11,17,1644,152
11,18,1917,484
11,19,1911,371
11,20,1897,292
11,21,1879,213
12,1,1945,832
12,2,1760,833
12,3,1605,732
12,4,1511,623
12,5,1415,570
12,6,1631,533
12,7,1554,399
12,8,1512,317
12,9,1473,239
12,10,1714,478
12,11,1642,327
12,12,1591,232
12,13,1543,148
12,14,1802,462
12,15,1751,315
12,16,1702,221
12,17,1656,138
12,18,1902,472
12,19,1897,358
12,20,1884,282
12,21,1867,208
13,1,1939,830
13,2,1762,832
13,3,1610,732
13,4,1517,617
13,5,1421,558
13,6,1633,529
13,7,1562,394
13,8,1523,307
13,9,1487,225
13,10,1717,471
13,11,1651,315
13,12,1602,217
13,13,1557,131
13,14,1805,453
13,15,1760,299
13,16,1715,206
13,17,1671,125
13,18,1903,462
13,19,1900,340
13,20,1893,262
13,21,1881,190
14,1,1946,825
14,2,1769,831
14,3,1614,729
14,4,1523,614
14,5,1431,555
14,6,1644,521
14,7,1567,389
14,8,1527,303
14,9,1492,223
14,10,1732,464
14,11,1664,305
14,12,1619,208
14,13,1578,122
14,14,1823,448
14,15,1773,297
14,16,1731,206
14,17,1693,126
14,18,1927,459
14,19,1936,345
14,20,1939,269
14,21,1939,198
15,1,1958,840
15,2,1784,843
15,3,1625,732
15,4,1533,612
15,5,1437,550
15,6,1655,529
15,7,1580,394
15,8,1540,309
15,9,1504,225
15,10,1736,470
15,11,1671,316
15,12,1627,216
15,13,1587,125
15,14,1822,451
15,15,1773,304
15,16,1732,208
15,17,1694,124
15,18,1918,458
15,19,1897,335
15,20,1880,258
15,21,1862,187
16,1,1956,834
16,2,1788,847
16,3,1632,740
16,4,1541,618
16,5,1447,550
16,6,1656,531
16,7,1582,395
16,8,1544,307
16,9,1512,223
16,10,1736,465
16,11,1675,309
16,12,1632,211
16,13,1593,123
16,14,1816,443
16,15,1778,292
16,16,1740,201
16,17,1704,119
16,18,1902,449
16,19,1892,337
16,20,1885,269
16,21,1874,203
17,1,1946,841
17,2,1784,847
17,3,1630,738
17,4,1540,622
17,5,1445,554
17,6,1656,526
17,7,1582,388
17,8,1546,302
17,9,1517,219
17,10,1740,467
17,11,1675,311
17,12,1630,213
17,13,1593,123
17,14,1826,451
17,15,1788,298
17,16,1749,200
17,17,1711,114
17,18,1915,462
17,19,1903,355
17,20,1895,291
17,21,1880,230
18,1,1952,842
18,2,1787,849
18,3,1638,742
18,4,1546,628
18,5,1450,561
18,6,1656,527
18,7,1583,387
18,8,1547,297
18,9,1518,216
18,10,1747,472
18,11,1686,309
18,12,1644,206
18,13,1607,120
18,14,1837,459
18,15,1806,305
18,16,1770,210
18,17,1734,128
18,18,1932,476
18,19,1954,384
18,20,1978,345
18,21,1994,309
19,1,1967,851
19,2,1800,848
19,3,1649,739
19,4,1553,629
19,5,1452,565
19,6,1667,532
19,7,1590,396
19,8,1548,311
19,9,1513,228
19,10,1757,484
19,11,1687,334
19,12,1642,234
19,13,1602,144
19,14,1850,477
19,15,1820,340
19,16,1785,256
19,17,1745,183
19,18,1948,495
19,19,1959,400
19,20,1973,350
19,21,1977,303
20,1,1977,846
20,2,1808,836
20,3,1658,727
20,4,1562,620
20,5,1461,559
20,6,1666,541
20,7,1587,402
20,8,1546,319
20,9,1506,238
20,10,1748,502
20,11,1677,376
20,12,1629,294
20,13,1584,218
20,14,1833,495
20,15,1801,384
20,16,1756,322
20,17,1708,272
20,18,1928,504
20,19,1891,403
20,20,1849,346
20,21,1802,300
21,1,1988,855
21,2,1817,841
21,3,1673,727
21,4,1579,621
21,5,1476,562
21,6,1673,547
21,7,1591,408
21,8,1552,326
21,9,1510,246
21,10,1752,514
21,11,1689,411
21,12,1635,358
21,13,1579,311
21,14,1836,506
21,15,1799,401
21,16,1747,350
21,17,1686,313
21,18,1928,512
21,19,1895,406
21,20,1858,349
21,21,1814,305
22,1,2012,859
22,2,1841,843
22,3,1688,728
22,4,1592,620
22,5,1495,560
22,6,1704,568
22,7,1628,451
22,8,1592,383
22,9,1551,317
22,10,1791,512
22,11,1726,396
22,12,1686,333
22,13,1637,273
22,14,1880,490
22,15,1849,374
22,16,1810,302
22,17,1760,241
22,18,1971,490
22,19,1969,409
22,20,1971,378
22,21,1963,350
23,1,2039,823
23,2,1869,839
23,3,1708,738
23,4,1604,633
23,5,1502,583
23,6,1733,585
23,7,1663,487
23,8,1627,436
23,9,1595,386
23,10,1812,508
23,11,1741,371
23,12,1690,290
23,13,1640,208
23,14,1896,473
23,15,1852,330
23,16,1813,241
23,17,1770,157
23,18,1987,469
23,19,1997,372
23,20,2014,325
23,21,2019,278
24,1,2039,823
24,2,1869,839
24,3,1708,738
24,4,1604,633
24,5,1502,583
24,6,1733,585
24,7,1663,487
24,8,1627,436
24,9,1595,386
24,10,1812,508
24,11,1741,371
24,12,1690,290
24,13,1640,208
24,14,1896,473
24,15,1852,330
24,16,1813,241
24,17,1770,157
24,18,1987,469
24,19,1997,372
24,20,2014,325
24,21,2019,278
25,1,2051,806
25,2,1921,816
25,3,1785,732
25,4,1686,635
25,5,1583,579
25,6,1808,549
25,7,1751,447
25,8,1732,401
25,9,1721,356
25,10,1874,462
25,11,1803,316
25,12,1748,215
25,13,1698,120
25,14,1945,423
25,15,1890,278
25,16,1848,175
25,17,1800,80
25,18,2016,417
25,19,1973,289
25,20,1938,208
25,21,1898,137
26,1,2058,794
26,2,1939,816
26,3,1822,735
26,4,1730,637
26,5,1633,595
26,6,1843,540
26,7,1794,428
26,8,1772,346
26,9,1761,269
26,10,1915,451
26,11,1853,292
26,12,1798,179
26,13,1752,84
26,14,1977,406
26,15,1924,251
26,16,1882,144
26,17,1844,54
26,18,2026,393
26,19,1990,252
26,20,1960,160
26,21,1924,84
27,1,2124,777
27,2,1991,812
27,3,1860,736
27,4,1760,639
27,5,1655,583
27,6,1865,527
27,7,1806,382
27,8,1774,281
27,9,1751,184
27,10,1939,446
27,11,1878,278
27,12,1844,164
27,13,1814,55
27,14,2001,407
27,15,1933,250
27,16,1891,136
27,17,1856,32
27,18,2051,396
27,19,1994,259
27,20,1959,168
27,21,1928,78
28,1,2126,805
28,2,1987,793
28,3,1862,697
28,4,1779,603
28,5,1687,574
28,6,1874,503
28,7,1815,351
28,8,1782,244
28,9,1756,153
28,10,1973,445
28,11,1941,449
28,12,1958,525
28,13,1983,569
28,14,2071,438
28,15,2047,436
28,16,2057,499
28,17,2074,539
28,18,2162,450
28,19,2156,439
28,20,2163,483
28,21,2179,513
29,1,2108,785
29,2,1985,784
29,3,1873,691
29,4,1797,598
29,5,1704,564
29,6,1893,486
29,7,1838,337
29,8,1804,233
29,9,1773,139
29,10,1990,437
29,11,1988,458
29,12,2004,559
29,13,2025,613
29,14,2081,440
29,15,2085,462
29,16,2090,548
29,17,2102,591
29,18,2163,455
29,19,2178,461
29,20,2179,524
29,21,2189,556
30,1,2118,757
30,2,1978,762
30,3,1874,673
30,4,1806,571
30,5,1721,528
30,6,1892,485
30,7,1841,337
30,8,1808,232
30,9,1782,141
30,10,1992,424
30,11,1943,437
30,12,1950,517
30,13,1981,561
30,14,2083,423
30,15,2042,439
30,16,2038,504
30,17,2062,545
30,18,2162,440
30,19,2141,445
30,20,2134,498
30,21,2149,533
31,1,2112,748
31,2,1982,745
31,3,1870,653
31,4,1792,549
31,5,1706,507
31,6,1901,510
31,7,1849,383
31,8,1826,310
31,9,1810,258
31,10,1987,456
31,11,1928,344
31,12,1911,327
31,13,1916,325
31,14,2070,435
31,15,2037,340
31,16,2028,341
31,17,2037,350
31,18,2144,431
31,19,2129,352
31,20,2125,352
31,21,2135,361
32,1,2092,773
32,2,1956,761
32,3,1851,676
32,4,1775,577
32,5,1692,524
32,6,1891,536
32,7,1808,445
32,8,1790,484
32,9,1809,541
32,10,1964,505
32,11,1879,434
32,12,1866,489
32,13,1893,544
32,14,2031,500
32,15,1956,438
32,16,1942,488
32,17,1962,537
32,18,2093,504
32,19,2024,452
32,20,2007,485
32,21,2023,520
32,22,1885,659
32,23,1817,631
32,24,1770,570
32,25,1728,529
32,26,1671,521
32,27,1817,475
32,28,1836,459
32,29,1826,492
32,30,1819,523
32,31,1878,481
32,32,1899,475
32,33,1880,522
32,34,1869,556
32,35,1933,502
32,36,1953,501
32,37,1933,545
32,38,1920,574
32,39,1982,532
32,40,1998,535
32,41,1977,567
32,42,1962,589
33,1,2088,727
33,2,1950,755
33,3,1839,694
33,4,1757,603
33,5,1680,549
33,6,1851,544
33,7,1790,459
33,8,1800,507
33,9,1830,575
33,10,1932,476
33,11,1868,386
33,12,1873,448
33,13,1899,512
33,14,2010,440
33,15,1956,362
33,16,1953,422
33,17,1974,479
33,18,2083,425
33,19,2035,377
33,20,2026,419
33,21,2044,459
34,1,2033,741
34,2,1939,769
34,3,1835,700
34,4,1764,622
34,5,1689,564
34,6,1815,554
34,7,1755,452
34,8,1781,496
34,9,1821,573
34,10,1893,488
34,11,1851,358
34,12,1864,418
34,13,1886,493
34,14,1969,458
34,15,1952,353
34,16,1962,423
34,17,1978,490
34,18,2041,450
34,19,2029,379
34,20,2037,418
34,21,2050,465
35,1,2066,746
35,2,1965,777
35,3,1861,714
35,4,1780,633
35,5,1704,581
35,6,1839,557
35,7,1748,481
35,8,1735,480
35,9,1767,534
35,10,1903,484
35,11,1856,350
35,12,1825,344
35,13,1833,392
35,14,1971,450
35,15,1940,344
35,16,1934,363
35,17,1951,406
35,18,2044,441
35,19,2030,359
35,20,2030,357
35,21,2046,379
36,1,2034,760
36,2,1939,776
36,3,1847,709
36,4,1782,634
36,5,1713,596
36,6,1817,544
36,7,1741,457
36,8,1719,445
36,9,1737,499
36,10,1892,485
36,11,1849,338
36,12,1818,311
36,13,1826,357
36,14,1967,470
36,15,1951,347
36,16,1944,325
36,17,1954,346
36,18,2046,480
36,19,2041,384
36,20,2046,352
36,21,2056,353
37,1,2100,745
37,2,1969,787
37,3,1866,725
37,4,1793,638
37,5,1712,601
37,6,1839,542
37,7,1748,453
37,8,1703,418
37,9,1679,440
37,10,1913,465
37,11,1859,322
37,12,1818,272
37,13,1790,284
37,14,1982,443
37,15,1952,329
37,16,1928,279
37,17,1913,267
37,18,2054,446
37,19,2037,351
37,20,2030,302
37,21,2019,278
38,1,2120,746
38,2,1990,784
38,3,1880,726
38,4,1812,650
38,5,1728,618
38,6,1845,528
38,7,1755,441
38,8,1693,385
38,9,1638,332
38,10,1920,443
38,11,1866,309
38,12,1828,231
38,13,1794,169
38,14,1999,415
38,15,1949,285
38,16,1902,214
38,17,1863,153
38,18,2084,416
38,19,2067,315
38,20,2051,263
38,21,2034,216
39,1,2124,765
39,2,2002,779
39,3,1893,722
39,4,1821,654
39,5,1738,631
39,6,1859,511
39,7,1758,406
39,8,1690,329
39,9,1633,260
39,10,1940,445
39,11,1896,284
39,12,1867,175
39,13,1847,89
39,14,2030,432
39,15,2011,301
39,16,2027,278
39,17,2047,264
39,18,2117,453
39,19,2111,364
39,20,2118,357
39,21,2130,356
40,1,2153,764
40,2,2023,782
40,3,1902,728
40,4,1842,667
40,5,1772,660
40,6,1866,497
40,7,1768,379
40,8,1706,292
40,9,1654,213
40,10,1957,449
40,11,1887,468
40,12,1924,554
40,13,1979,598
40,14,2052,442
40,15,1997,458
40,16,2015,533
40,17,2056,572
40,18,2143,452
40,19,2107,444
40,20,2110,492
40,21,2138,520
41,1,2123,792
41,2,2001,798
41,3,1880,726
41,4,1810,657
41,5,1725,642
41,6,1871,493
41,7,1788,365
41,8,1733,271
41,9,1686,191
41,10,1962,455
41,11,1891,471
41,12,1925,562
41,13,1978,606
41,14,2059,461
41,15,2005,474
41,16,2018,552
41,17,2055,592
41,18,2156,488
41,19,2118,480
41,20,2112,528
41,21,2136,557
42,1,2094,819
42,2,1965,818
42,3,1843,738
42,4,1765,665
42,5,1676,643
42,6,1869,502
42,7,1806,363
42,8,1754,270
42,9,1706,191
42,10,1954,473
42,11,1919,442
42,12,1937,516
42,13,1965,567
42,14,2045,480
42,15,2020,449
42,16,2027,521
42,17,2047,573
42,18,2134,504
42,19,2122,460
42,20,2118,491
42,21,2131,518
43,1,2038,834
43,2,1932,818
43,3,1824,723
43,4,1738,645
43,5,1644,603
43,6,1866,503
43,7,1824,365
43,8,1764,296
43,9,1699,258
43,10,1923,490
43,11,1881,312
43,12,1788,262
43,13,1709,260
43,14,1985,509
43,15,1933,397
43,16,1893,435
43,17,1885,478
43,18,2043,550
43,19,1996,481
43,20,1966,502
43,21,1964,531
44,1,2070,871
44,2,1938,856
44,3,1822,752
44,4,1733,655
44,5,1640,591
44,6,1882,553
44,7,1837,377
44,8,1747,347
44,9,1685,370
44,10,1963,533
44,11,1921,337
44,12,1836,390
44,13,1808,478
44,14,2035,545
44,15,1986,410
44,16,1917,478
44,17,1908,547
44,18,2100,573
44,19,2049,480
44,20,1990,518
44,21,1976,573
45,1,2044,876
45,2,1914,849
45,3,1806,756
45,4,1739,667
45,5,1678,588
45,6,1859,531
45,7,1769,401
45,8,1706,412
45,9,1702,457
45,10,1947,508
45,11,1894,360
45,12,1810,452
45,13,1796,546
45,14,2026,525
45,15,1973,424
45,16,1906,527
45,17,1909,611
45,18,2095,568
45,19,2030,514
45,20,1981,573
45,21,1988,634
46,1,2050,874
46,2,1927,861
46,3,1802,774
46,4,1733,673
46,5,1701,569
46,6,1798,568
46,7,1733,442
46,8,1681,455
46,9,1677,506
46,10,1891,535
46,11,1843,393
46,12,1794,493
46,13,1799,580
46,14,1982,536
46,15,1930,466
46,16,1897,574
46,17,1914,646
46,18,2071,563
46,19,2011,530
46,20,1978,594
46,21,1992,648
47,1,2032,886
47,2,1910,875
47,3,1785,779
47,4,1731,667
47,5,1735,555
47,6,1757,611
47,7,1691,477
47,8,1679,494
47,9,1699,544
47,10,1849,565
47,11,1814,407
47,12,1791,493
47,13,1796,585
47,14,1948,552
47,15,1925,436
47,16,1906,538
47,17,1915,619
47,18,2051,561
47,19,2028,483
47,20,2004,541
47,21,2006,601
47,22,1878,698
47,23,1787,712
47,24,1720,681
47,25,1720,628
47,26,1746,555
47,27,1724,483
47,28,1682,494
47,29,1707,581
47,30,1741,614
47,31,1812,458
47,32,1792,446
47,33,1801,564
47,34,1817,603
47,35,1889,465
47,36,1868,489
47,37,1871,594
47,38,1881,624
47,39,1956,488
47,40,1934,525
47,41,1935,600
47,42,1945,617
48,1,2038,867
48,2,1905,870
48,3,1779,779
48,4,1724,657
48,5,1746,547
48,6,1752,613
48,7,1682,481
48,8,1667,519
48,9,1687,585
48,10,1839,563
48,11,1779,410
48,12,1752,498
48,13,1768,593
48,14,1933,540
48,15,1885,427
48,16,1871,541
48,17,1901,632
48,18,2033,535
48,19,1980,466
48,20,1962,533
48,21,1985,597
49,1,2038,867
49,2,1905,870
49,3,1779,779
49,4,1724,657
49,5,1746,547
49,6,1752,613
49,7,1682,481
49,8,1667,519
49,9,1687,585
49,10,1839,563
49,11,1779,410
49,12,1752,498
49,13,1768,593
49,14,1933,540
49,15,1885,427
49,16,1871,541
49,17,1901,632
49,18,2033,535
49,19,1980,466
49,20,1962,533
49,21,1985,597
50,1,1982,881
50,2,1855,886
50,3,1742,796
50,4,1716,682
50,5,1750,570
50,6,1715,611
50,7,1644,482
50,8,1600,513
50,9,1614,586
50,10,1798,545
50,11,1751,378
50,12,1701,413
50,13,1716,492
50,14,1883,518
50,15,1843,375
50,16,1802,411
50,17,1832,487
50,18,1976,510
50,19,1943,385
50,20,1881,380
50,21,1866,432
51,1,2035,921
51,2,1881,923
51,3,1755,833
51,4,1698,711
51,5,1708,599
51,6,1729,619
51,7,1644,504
51,8,1590,471
51,9,1579,512
51,10,1821,547
51,11,1770,389
51,12,1712,332
51,13,1702,372
51,14,1908,528
51,15,1885,378
51,16,1848,321
51,17,1855,356
51,18,2003,536
51,19,1999,427
51,20,1970,368
51,21,1959,373
52,1,2009,947
52,2,1859,940
52,3,1732,847
52,4,1683,739
52,5,1656,642
52,6,1719,623
52,7,1637,522
52,8,1580,485
52,9,1528,475
52,10,1801,556
52,11,1757,406
52,12,1715,340
52,13,1673,310
52,14,1886,536
52,15,1873,394
52,16,1844,315
52,17,1809,262
52,18,1975,550
52,19,1972,450
52,20,1962,399
52,21,1943,362
53,1,2060,921
53,2,1902,954
53,3,1753,890
53,4,1679,789
53,5,1612,701
53,6,1698,652
53,7,1600,546
53,8,1538,489
53,9,1474,433
53,10,1780,568
53,11,1717,414
53,12,1670,321
53,13,1619,238
53,14,1868,534
53,15,1839,386
53,16,1812,290
53,17,1776,204
53,18,1956,534
53,19,1932,415
53,20,1921,344
53,21,1904,280
54,1,1977,961
54,2,1839,973
54,3,1714,897
54,4,1649,804
54,5,1560,734
54,6,1661,662
54,7,1562,554
54,8,1499,483
54,9,1443,410
54,10,1736,579
54,11,1675,407
54,12,1634,299
54,13,1592,203
54,14,1817,555
54,15,1794,388
54,16,1775,280
54,17,1749,186
54,18,1902,570
54,19,1910,452
54,20,1926,396
54,21,1930,344
55,1,1976,954
55,2,1832,982
55,3,1699,914
55,4,1620,824
55,5,1522,772
55,6,1630,673
55,7,1530,551
55,8,1471,473
55,9,1418,392
55,10,1709,588
55,11,1645,408
55,12,1603,298
55,13,1562,197
55,14,1793,560
55,15,1776,392
55,16,1760,279
55,17,1737,180
55,18,1877,573
55,19,1887,461
55,20,1905,410
55,21,1912,365
56,1,1926,959
56,2,1787,991
56,3,1647,931
56,4,1556,854
56,5,1455,808
56,6,1599,668
56,7,1506,546
56,8,1448,463
56,9,1401,383
56,10,1687,590
56,11,1626,411
56,12,1583,298
56,13,1546,197
56,14,1784,572
56,15,1754,401
56,16,1735,290
56,17,1713,192
56,18,1885,598
56,19,1925,490
56,20,1969,441
56,21,2000,399
57,1,1912,969
57,2,1755,993
57,3,1594,928
57,4,1493,858
57,5,1394,834
57,6,1563,678
57,7,1478,558
57,8,1433,476
57,9,1397,397
57,10,1648,604
57,11,1582,427
57,12,1538,317
57,13,1502,219
57,14,1749,582
57,15,1708,413
57,16,1683,308
57,17,1658,214
57,18,1860,603
57,19,1891,478
57,20,1916,396
57,21,1932,321
58,1,1831,996
58,2,1675,1006
58,3,1529,937
58,4,1431,866
58,5,1333,843
58,6,1519,682
58,7,1444,571
58,8,1408,494
58,9,1382,420
58,10,1605,613
58,11,1531,445
58,12,1484,338
58,13,1447,238
58,14,1706,594
58,15,1658,430
58,16,1624,327
58,17,1591,232
58,18,1821,617
58,19,1852,492
58,20,1869,406
58,21,1878,326
59,1,1761,1013
59,2,1611,1010
59,3,1474,944
59,4,1372,885
59,5,1275,858
59,6,1480,694
59,7,1411,586
59,8,1371,521
59,9,1334,461
59,10,1558,635
59,11,1489,465
59,12,1437,359
59,13,1392,263
59,14,1651,621
59,15,1605,454
59,16,1566,347
59,17,1526,250
59,18,1760,645
59,19,1804,518
59,20,1832,429
59,21,1851,347
60,1,1706,1011
60,2,1558,1014
60,3,1412,947
60,4,1313,889
60,5,1220,864
60,6,1412,699
60,7,1346,587
60,8,1312,573
60,9,1287,590
60,10,1489,644
60,11,1427,482
60,12,1375,381
60,13,1329,308
60,14,1579,640
60,15,1552,495
60,16,1521,430
60,17,1479,393
60,18,1678,672
60,19,1690,563
60,20,1697,527
60,21,1688,514
61,1,1646,1031
61,2,1510,1016
61,3,1364,934
61,4,1256,869
61,5,1162,838
61,6,1377,714
61,7,1297,584
61,8,1231,595
61,9,1195,651
61,10,1452,675
61,11,1408,469
61,12,1327,442
61,13,1282,459
61,14,1541,682
61,15,1487,511
61,16,1411,599
61,17,1373,690
61,18,1641,717
61,19,1588,629
61,20,1533,703
61,21,1502,782
62,1,1610,1051
62,2,1476,1029
62,3,1335,942
62,4,1233,868
62,5,1146,800
62,6,1327,745
62,7,1250,603
62,8,1192,624
62,9,1178,682
62,10,1399,703
62,11,1341,501
62,12,1262,538
62,13,1235,613
62,14,1480,696
62,15,1379,581
62,16,1337,699
62,17,1347,794
62,18,1573,717
62,19,1473,725
62,20,1442,819
62,21,1454,878
63,1,1556,1065
63,2,1419,1026
63,3,1281,936
63,4,1198,852
63,5,1144,758
63,6,1299,718
63,7,1232,590
63,8,1179,640
63,9,1170,702
63,10,1368,693
63,11,1268,615
63,12,1258,750
63,13,1288,794
63,14,1439,691
63,15,1341,710
63,16,1366,841
63,17,1413,854
63,18,1517,707
63,19,1423,756
63,20,1437,849
63,21,1480,848
64,1,1512,1091
64,2,1360,1037
64,3,1226,935
64,4,1151,839
64,5,1131,734
64,6,1258,727
64,7,1156,660
64,8,1179,777
64,9,1218,819
64,10,1325,707
64,11,1220,671
64,12,1256,817
64,13,1301,829
64,14,1398,705
64,15,1294,721
64,16,1332,858
64,17,1377,853
64,18,1473,717
64,19,1371,750
64,20,1393,844
64,21,1439,834
65,1,1468,1088
65,2,1317,1032
65,3,1186,940
65,4,1107,854
65,5,1090,752
65,6,1219,733
65,7,1106,704
65,8,1151,816
65,9,1203,845
65,10,1283,711
65,11,1165,688
65,12,1222,831
65,13,1280,841
65,14,1356,704
65,15,1248,721
65,16,1300,858
65,17,1351,856
65,18,1432,713
65,19,1334,750
65,20,1359,843
65,21,1403,836
66,1,1428,1078
66,2,1278,1035
66,3,1153,938
66,4,1086,858
66,5,1063,771
66,6,1163,775
66,7,1076,707
66,8,1115,818
66,9,1163,859
66,10,1225,747
66,11,1128,657
66,12,1166,796
66,13,1221,832
66,14,1305,735
66,15,1208,651
66,16,1235,787
66,17,1285,824
66,18,1396,739
66,19,1312,702
66,20,1310,798
66,21,1347,829
67,1,1390,1057
67,2,1264,1050
67,3,1130,970
67,4,1045,905
67,5,998,837
67,6,1137,801
67,7,1043,710
67,8,1001,749
67,9,1014,803
67,10,1188,755
67,11,1078,626
67,12,1044,690
67,13,1077,762
67,14,1261,731
67,15,1169,587
67,16,1137,660
67,17,1168,734
67,18,1352,724
67,19,1282,613
67,20,1242,666
67,21,1255,738
68,1,1403,1050
68,2,1267,1051
68,3,1128,1008
68,4,1031,961
68,5,938,912
68,6,1106,806
68,7,990,764
68,8,928,803
68,9,895,864
68,10,1155,744
68,11,1067,631
68,12,987,614
68,13,943,668
68,14,1232,719
68,15,1167,593
68,16,1096,567
68,17,1044,611
68,18,1325,720
68,19,1309,602
68,20,1262,561
68,21,1212,582
69,1,1396,1038
69,2,1257,1055
69,3,1115,1034
69,4,1004,1015
69,5,898,1008
69,6,1069,819
69,7,946,783
69,8,862,766
69,9,786,766
69,10,1126,751
69,11,1052,628
69,12,978,588
69,13,911,600
69,14,1201,723
69,15,1157,604
69,16,1087,562
69,17,1014,560
69,18,1292,731
69,19,1301,626
69,20,1267,568
69,21,1216,540
70,1,1373,1052
70,2,1233,1065
70,3,1093,1046
70,4,984,1042
70,5,889,1051
70,6,1048,834
70,7,922,778
70,8,840,743
70,9,765,713
70,10,1104,771
70,11,1029,642
70,12,964,580
70,13,898,542
70,14,1177,746
70,15,1126,617
70,16,1065,553
70,17,1000,507
70,18,1258,757
70,19,1261,642
70,20,1239,566
70,21,1208,501
71,1,1352,1072
71,2,1216,1087
71,3,1080,1071
71,4,982,1083
71,5,908,1101
71,6,1031,844
71,7,911,777
71,8,836,734
71,9,769,693
71,10,1089,794
71,11,1027,646
71,12,977,566
71,13,929,501
71,14,1157,784
71,15,1111,629
71,16,1056,545
71,17,1000,471
71,18,1227,809
71,19,1224,689
71,20,1207,609
71,21,1184,532
72,1,1339,1116
72,2,1201,1132
72,3,1074,1111
72,4,987,1122
72,5,912,1128
72,6,1020,861
72,7,920,774
72,8,858,718
72,9,797,669
72,10,1079,824
72,11,1029,667
72,12,985,573
72,13,937,491
72,14,1148,831
72,15,1110,677
72,16,1068,581
72,17,1019,491
72,18,1217,871
